Time Stamp,Data Point 1,Data Point 2,Data Point 3,Data Point 4,Data Point 5
06-Feb-20 12:19:00,Off,No Data,324.1290283,324.3954468,Off
06-Feb-20 12:20:00,Off,No Data,325.3061218,324.9749756,Off
06-Feb-20 12:21:00,Off,No Data,327.8618774,327.4246216,Off
06-Feb-20 12:22:00,Off,No Data,331.0661011,330.4542542,Off
06-Feb-20 12:23:00,Off,No Data,331.6117859,330.9403687,Off
06-Feb-20 12:24:00,Off,No Data,331.7115784,330.8509827,Off
06-Feb-20 12:25:00,Off,No Data,333.3497925,333.3421936,Off
06-Feb-20 12:26:00,Off,No Data,336.57901,336.4135742,Off
06-Feb-20 12:27:00,Off,No Data,337.4628296,337.4081116,Off
06-Feb-20 12:28:00,Off,No Data,339.1489563,338.4356079,Off
06-Feb-20 12:29:00,Off,No Data,340.757782,340.5569153,Off
06-Feb-20 12:30:00,Off,No Data,343.3129578,342.3317871,Off
06-Feb-20 12:31:00,Off,No Data,343.700592,343.5012207,Off
06-Feb-20 12:32:00,Off,No Data,346.2615662,345.8598328,Off
06-Feb-20 12:33:00,Off,No Data,348.6166687,348.4651184,Off
06-Feb-20 12:34:00,Off,No Data,349.7747803,349.3168945,Off
06-Feb-20 12:35:00,Off,No Data,351.3351135,351.4805603,Off
06-Feb-20 12:36:00,Off,No Data,355.1930237,354.4009399,Off
06-Feb-20 12:37:00,Off,No Data,357.9068298,357.3212891,Off
06-Feb-20 12:38:00,Off,No Data,357.7403259,357.4685974,Off
06-Feb-20 12:39:00,Off,No Data,357.714386,357.216095,Off
06-Feb-20 12:40:00,Off,No Data,357.6884155,356.963562,Off
06-Feb-20 12:41:00,Off,No Data,355.8065186,355.7007751,Off
06-Feb-20 12:42:00,Off,No Data,355.1604004,354.9003296,Off
06-Feb-20 12:43:00,Off,No Data,356.8694153,356.8550415,Off
06-Feb-20 12:44:00,Off,No Data,361.5570679,360.4749451,Off
06-Feb-20 12:45:00,Off,No Data,362.7192078,362.9701233,Off
06-Feb-20 12:46:00,Off,No Data,366.0419922,366.346344,Off
06-Feb-20 12:47:00,Off,No Data,371.9315491,371.2061157,Off
